algorithm,size,median,tilesize
naive,100,274,0
naive,150,1082,0
naive,200,2481,0
naive,250,5008,0
naive,300,13081,0
naive,350,15063,0
naive,400,22188,0
naive,450,31652,0
naive,500,43840,0
naive,550,59278,0
naive,600,76386,0
naive,650,96611,0
naive,700,123389,0
naive,750,158440,0
naive,800,219793,0
naive,850,269151,0
naive,900,316933,0
naive,950,381928,0
naive,1000,441315,0
naive,1300,996289,0
naive,1600,2056234,0
naive,1900,4307434,0
naive,2200,6931803,0
naive,2500,14699831,0
