algorithm,size,median,tilesize
ikj,100,151,0
ikj,150,506,0
ikj,200,1204,0
ikj,250,2466,0
ikj,300,6480,0
ikj,350,6537,0
ikj,400,9658,0
ikj,450,13853,0
ikj,500,19077,0
ikj,550,26893,0
ikj,600,34653,0
ikj,650,43780,0
ikj,700,54782,0
ikj,750,67036,0
ikj,800,81262,0
ikj,850,97542,0
ikj,900,115365,0
ikj,950,135790,0
ikj,1000,157430,0
ikj,1300,344529,0
ikj,1600,647522,0
ikj,1900,1101966,0
ikj,2200,1730183,0
ikj,2500,2530608,0
